FullName,GenericName,Dosage
NIACINAMIDE 500 MG CA,NIACINAMIDE, 500 MG CA
CYANOCOBALAMIN/FOLIC ACID 0.5-0.8 MG CA,CYANOCOBALAMIN/FOLIC ACID, 0.5-0.8 MG CA
UBIDECARENONE 10 MG TA,UBIDECARENONE, 10 MG TA
LEM BALM/GENTN/LOVAGE/GALANG/C  TA,LEM BALM/GENTN/LOVAGE/GALANG/C  TA,
BACITRACIN/POLYMYXINB/LIDOCAIN 500-10K-40 OA,BACITRACIN/POLYMYXINB/LIDOCAIN, 500-10K-40 OA
FLUORIDE (SODIUM) 0.1 % KP,FLUORIDE (SODIUM), 0.1 % KP
DM/P-EPHED/ACETAMINOPH/DOXYLAM  SL,DM/P-EPHED/ACETAMINOPH/DOXYLAM  SL,
CLOTRIMAZOLE 100MG-1% ZD,CLOTRIMAZOLE, 100MG-1% ZD
IOPAMIDOL 26 % HV,IOPAMIDOL, 26 % HV
DOBUTAMINE HCL 12.5 MG/ML HV,DOBUTAMINE HCL, 12.5 MG/ML HV
ALFACALCIDOL 0.2 MCG/ML SL,ALFACALCIDOL, 0.2 MCG/ML SL
CHYMOTRYPSIN 300 UNIT HS,CHYMOTRYPSIN, 300 UNIT HS
SULFACETAMIDE/PHENYLEPHRINE 15-0.125% SO,SULFACETAMIDE/PHENYLEPHRINE, 15-0.125% SO
PYRIDOXINE HCL (VITAMIN B6) 200 MG TA,PYRIDOXINE HCL (VITAMIN B6), 200 MG TA
CALCIUM CARBONATE/POT BICARB 8-4MEQ TA,CALCIUM CARBONATE/POT BICARB, 8-4MEQ TA
BISMUTH TRIBROMOPH/PETROLATUM 3 % YE,BISMUTH TRIBROMOPH/PETROLATUM, 3 % YE
SCARLET RED 5%-5X9 YE,SCARLET RED, 5%-5X9 YE
MANGANESE  TA,MANGANESE  TA,
DOPAMINE HCL IN DEXTROSE 5 % 800MG/.25L HZ,DOPAMINE HCL IN DEXTROSE , 5 % 800MG/.25L HZ
TIO2/OXYBENZONE/PDO/CINOXATE  EH,TIO2/OXYBENZONE/PDO/CINOXATE  EH,
IODOQUINOL 210 MG TA,IODOQUINOL, 210 MG TA
ACETYLSALICYLIC ACID 500 MG TF,ACETYLSALICYLIC ACID, 500 MG TF
MAGNESIUM 100 MG TA,MAGNESIUM, 100 MG TA
DIPHENYLPYR/PE/ACETYLSALICY/GG 2-5-325 MG TA,DIPHENYLPYR/PE/ACETYLSALICY/GG, 2-5-325 MG TA
CHOLECALCIFEROL (VITAMIN D3) 400/ML SO,CHOLECALCIFEROL (VITAMIN D3), 400/ML SO
VIT A PALMITATE/VIT C/VIT D3 750-30/ML SO,VIT A PALMITATE/VIT C/VIT D3, 750-30/ML SO
VITAMIN A PALM/D3/B1/B2/B3/C 750-400/ML SO,VITAMIN A PALM/D3/B1/B2/B3/C, 750-400/ML SO
FERROUS SULFATE 15 MG/ML SO,FERROUS SULFATE, 15 MG/ML SO
CHLORAMPHENICOL 0.4 % SO,CHLORAMPHENICOL, 0.4 % SO
DIPHENHYDRAMINE HCL/RESORCINOL  JG,DIPHENHYDRAMINE HCL/RESORCINOL  JG,
PPA/ACETAMIN/DIPH-PYRA/CAFFEIN  TA,PPA/ACETAMIN/DIPH-PYRA/CAFFEIN  TA,
PPA/CODEINE/ACETAMIN/DIPH-PYRA  TA,PPA/CODEINE/ACETAMIN/DIPH-PYRA  TA,
CHLORAMPHENICOL 0.2 % OA,CHLORAMPHENICOL, 0.2 % OA
CHLORAMPHENICOL/HYDROCORTISONE 0.2 %-1 % OA,CHLORAMPHENICOL/HYDROCORTISONE, 0.2 %-1 % OA
FE/CAL/VITAMIN D3/B12/NIAC/B1  TA,FE/CAL/VITAMIN D3/B12/NIAC/B1  TA,
LIDOCAINE 7 % AS,LIDOCAINE, 7 % AS
TETRACAINE  AA,TETRACAINE  AA,
LIDOCAINE HCL 1 % AS,LIDOCAINE HCL, 1 % AS
LIDOCAINE HCL 1 % JG,LIDOCAINE HCL, 1 % JG
LIPASE/PROTEASE/AMYLASE 1.9-.1-1.7 TE,LIPASE/PROTEASE/AMYLASE, 1.9-.1-1.7 TE
LIPASE/PROTEASE/AMYLASE 5.6-.33-5K TE,LIPASE/PROTEASE/AMYLASE, 5.6-.33-5K TE
LIPASE/PROTEASE/AMYLASE 8-0.43-9K CA,LIPASE/PROTEASE/AMYLASE, 8-0.43-9K CA
"MAGNESIUM, ALUMINUM HYDROXIDE 200-230/5 SC","MAGNESIUM, ALUMINUM HYDROXIDE", 200-230/5 SC
EUCALYPT/ME-SAL/MENTH/CAMP/PEP  SL,EUCALYPT/ME-SAL/MENTH/CAMP/PEP  SL,
DOCUSATE SODIUM 200 MG CA,DOCUSATE SODIUM, 200 MG CA
DM/PPA/ACETAMINOPHEN/CHLORPHEN  TA,DM/PPA/ACETAMINOPHEN/CHLORPHEN  TA,
CAMPHOR/ZINC OXIDE 0.31-20.06 KA,CAMPHOR/ZINC OXIDE, 0.31-20.06 KA
SOAP/CHLOROXYLENOL/TRICLOSAN  EE,SOAP/CHLOROXYLENOL/TRICLOSAN  EE,
MENTHOL/HERBAL DRUGS 3 MG TL,MENTHOL/HERBAL DRUGS, 3 MG TL
HERBAL DRUGS  TL,HERBAL DRUGS  TL,
MAGNESIUM CARBONATE 277 MG/G PA,MAGNESIUM CARBONATE, 277 MG/G PA
CHOLECALCIFEROL (VITAMIN D3) 400 UNIT TA,CHOLECALCIFEROL (VITAMIN D3), 400 UNIT TA
PHENOXYETHANOL 2.5 % EE,PHENOXYETHANOL, 2.5 % EE
GLICLAZIDE 80 MG TA,GLICLAZIDE, 80 MG TA
MIDAZOLAM HCL 5 MG/ML HV,MIDAZOLAM HCL, 5 MG/ML HV
NEDOCROMIL SODIUM 2 MG AJ,NEDOCROMIL SODIUM, 2 MG AJ
FLURBIPROFEN SODIUM 0.03 % SO,FLURBIPROFEN SODIUM, 0.03 % SO
SALICYLIC ACID 2 % ET,SALICYLIC ACID, 2 % ET
CAMPHOR/OXYBEN/PDO/PHENOL LIQ  OA,CAMPHOR/OXYBEN/PDO/PHENOL LIQ  OA,
AMMONIUM CHLORIDE/GUAIFEN/DPHA  ST,AMMONIUM CHLORIDE/GUAIFEN/DPHA  ST,
BECLOMETHASONE DIPROPIONATE 250 MCG AJ,BECLOMETHASONE DIPROPIONATE, 250 MCG AJ
DOXORUBICIN HCL 150 MG HS,DOXORUBICIN HCL, 150 MG HS
BENZOCAINE 5 MG TA,BENZOCAINE, 5 MG TA
TIO2/OXYBEN/CINOXATE/SUNSCREEN  SK,TIO2/OXYBEN/CINOXATE/SUNSCREEN  SK,
MAGNESIUM CHLORIDE 36 MG TA,MAGNESIUM CHLORIDE, 36 MG TA
SODIUM POLYSTYRENE SULFONATE 30 G/120ML SF,SODIUM POLYSTYRENE SULFONATE, 30 G/120ML SF
CAPSAICIN 0.075 % KA,CAPSAICIN, 0.075 % KA
TRIAMCINOLONE ACETONIDE 200 MCG AJ,TRIAMCINOLONE ACETONIDE, 200 MCG AJ
ERYTHROMYCIN BASE 333 MG TR,ERYTHROMYCIN BASE, 333 MG TR
HEMODIALYSIS SOLUTION NO. 20 1-1.55MMOL SA,HEMODIALYSIS SOLUTION NO. , 20 1-1.55MMOL SA
ASCORBIC ACID/ASCORBATE CAL 62.5-210MG TA,ASCORBIC ACID/ASCORBATE CAL, 62.5-210MG TA
HOMEOPATHIC DRUGS  CA,HOMEOPATHIC DRUGS  CA,
ZINC 25 MG TA,ZINC, 25 MG TA
IRON FUM/C/FOLIC ACID/B12/MANG 60 MG-50MG TA,IRON FUM/C/FOLIC ACID/B12/MANG, 60 MG-50MG TA
"HEPARIN SODIUM,PORCINE/D5W 50 UNIT/ML HM","HEPARIN SODIUM,PORCINE/D5W", 50 UNIT/ML HM
HYDROCORTISONE/PRAMOXINE 1 %-1 % KA,HYDROCORTISONE/PRAMOXINE, 1 %-1 % KA
HEMODIALYSIS SOLUTION NO.11 2-1.55MMOL SA,HEMODIALYSIS SOLUTION NO.11, 2-1.55MMOL SA
HEMODIALYSIS SOLUTION NO.14 3-1.55MMOL SA,HEMODIALYSIS SOLUTION NO.14, 3-1.55MMOL SA
SODIUM BICARBONATE 8 % SL,SODIUM BICARBONATE, 8 % SL
ACEBUTOLOL HCL 400 MG TA,ACEBUTOLOL HCL, 400 MG TA
PERMETHRIN 1 % SL,PERMETHRIN, 1 % SL
ALTEPLASE 50 MG HS,ALTEPLASE, 50 MG HS
"SODIUM PHOSPHATE,MONO-DIBASIC  SJ","SODIUM PHOSPHATE,MONO-DIBASIC  SJ",
POTASSIUM CHLOR/MAGNESIUM GLUC 600-341 MG TA,POTASSIUM CHLOR/MAGNESIUM GLUC, 600-341 MG TA
SALICYLIC ACID/PODOPHYLL/CANTH 30 %-2%-1% SL,SALICYLIC ACID/PODOPHYLL/CANTH, 30 %-2%-1% SL
LOBELINE SULFATE 2 MG TA,LOBELINE SULFATE, 2 MG TA
COAL TAR/CHLORHEXIDINE 7.5-1% SS,COAL TAR/CHLORHEXIDINE, 7.5-1% SS
CASCARA/BUCKTHORN/BARBERR/RHUB  TA,CASCARA/BUCKTHORN/BARBERR/RHUB  TA,
CARBAMAZEPINE 200 MG TM,CARBAMAZEPINE, 200 MG TM
INSULIN NPH/REGULAR INSULN S-S 85-15/ML HV,INSULIN NPH/REGULAR INSULN S-S, 85-15/ML HV
EUCALYPTUS/MENTH/CETYLPYRD CL  TL,EUCALYPTUS/MENTH/CETYLPYRD CL  TL,
ANDROGRAPHIS PANICULATA 150 MG CA,ANDROGRAPHIS PANICULATA, 150 MG CA
ACETYLSALICYLIC ACID/CAFFEINE 325MG-33MG TA,ACETYLSALICYLIC ACID/CAFFEINE, 325MG-33MG TA
HEMODIALYSIS SOLUTION NO.24 2-1.5MMOL SA,HEMODIALYSIS SOLUTION NO.24, 2-1.5MMOL SA
HEMODIALYSIS SOLN 17 WITHOUT K 1.25-.38/L SA,HEMODIALYSIS SOLN , 17 WITHOUT K 1.25-.38/L SA
HEMODIALYSIS SOLUTION NO.23 2-1.25MMOL SA,HEMODIALYSIS SOLUTION NO.23, 2-1.25MMOL SA
HEMODIALYSIS SOLUTION NO.21 3-1.5 MMOL SA,HEMODIALYSIS SOLUTION NO.21, 3-1.5 MMOL SA
TETRACAINE HCL 10 MG/ML HV,TETRACAINE HCL, 10 MG/ML HV
MAGNESIUM CHLORIDE 400 MG/ML SL,MAGNESIUM CHLORIDE, 400 MG/ML SL
METHIONINE/INOSI/CHOL/B COMP/I  TA,METHIONINE/INOSI/CHOL/B COMP/I  TA,
BELLADONNA ALKALOIDS/HERBS  TA,BELLADONNA ALKALOIDS/HERBS  TA,
DESIPRAMINE HCL 10 MG TA,DESIPRAMINE HCL, 10 MG TA
MORPHINE HCL 30 MG TS,MORPHINE HCL, 30 MG TS
MORPHINE HCL 60 MG TS,MORPHINE HCL, 60 MG TS
UBIDECARENONE 20 MG CA,UBIDECARENONE, 20 MG CA
ACETAMINOPH/DIPHENYLPYRAL/CAFF 300-2-16MG TA,ACETAMINOPH/DIPHENYLPYRAL/CAFF, 300-2-16MG TA
TRIFLUOPERAZINE HCL 1 MG/ML ST,TRIFLUOPERAZINE HCL, 1 MG/ML ST
THIORIDAZINE HCL 25 MG/5 ML SC,THIORIDAZINE HCL, 25 MG/5 ML SC
SIMETHICONE/SOD BICARB/TTA 460-420/G SV,SIMETHICONE/SOD BICARB/TTA, 460-420/G SV
BARIUM SULFATE 57 % SC,BARIUM SULFATE, 57 % SC
BARIUM SULFATE 95 % SC,BARIUM SULFATE, 95 % SC
ASCORBIC ACID/NIACIN/VIT B2  TA,ASCORBIC ACID/NIACIN/VIT B2  TA,
VITAMIN E 2.5 UNIT TA,VITAMIN E, 2.5 UNIT TA
LIDOCAINE HCL 2 % AS,LIDOCAINE HCL, 2 % AS
FE/CALCIUM CARB/VITAMIN D2/MIN  TA,FE/CALCIUM CARB/VITAMIN D2/MIN  TA,
ME-SALICYLATE/MENTHOL/EUCALYP  SL,ME-SALICYLATE/MENTHOL/EUCALYP  SL,
"PEG3350/SOD SULF,BICARB,CL/KCL 238.18G PI","PEG3350/SOD SULF,BICARB,CL/KCL", 238.18G PI
"PEG3350/SOD SULF,BICARB,CL/KCL 59.55-5.74 JL","PEG3350/SOD SULF,BICARB,CL/KCL", 59.55-5.74 JL
VITAMIN A 50000/ML HV,VITAMIN A, 50000/ML HV
NIZATIDINE 150 MG CA,NIZATIDINE, 150 MG CA
NIZATIDINE 300 MG CA,NIZATIDINE, 300 MG CA
DEFEROXAMINE MESYLATE 2 G HS,DEFEROXAMINE MESYLATE, 2 G HS
ASCORBIC ACID 500 MG/5ML HH,ASCORBIC ACID, 500 MG/5ML HH
NITROGLYCERIN 50 MG/10ML HV,NITROGLYCERIN, 50 MG/10ML HV
TOBRAMYCIN/DEXAMETHASONE 0.3 %-0.1% SN,TOBRAMYCIN/DEXAMETHASONE, 0.3 %-0.1% SN
TOBRAMYCIN/DEXAMETHASONE 0.3 %-0.1% OA,TOBRAMYCIN/DEXAMETHASONE, 0.3 %-0.1% OA
PHENYLEPHRINE/CODEINE/GUAIFEN  SH,PHENYLEPHRINE/CODEINE/GUAIFEN  SH,
SODIUM CHLOR/PROPYLENE GLY/PEG 9-50MG/ML AU,SODIUM CHLOR/PROPYLENE GLY/PEG, 9-50MG/ML AU
SODIUM CHLORIDE 0.9 % JG,SODIUM CHLORIDE, 0.9 % JG
VALERIAN 435 MG/ML SX,VALERIAN, 435 MG/ML SX
PHENYLEPHRINE HCL 2 MG/ML SO,PHENYLEPHRINE HCL, 2 MG/ML SO
BETAMETHASONE VALERATE 0.1 % JG,BETAMETHASONE VALERATE, 0.1 % JG
PYRITHIONE ZINC 1.2 % SS,PYRITHIONE ZINC, 1.2 % SS
ASCORBIC ACID 250 MG/ML HH,ASCORBIC ACID, 250 MG/ML HH
SODIUM ACETATE 4 MMOL/ML HV,SODIUM ACETATE, 4 MMOL/ML HV
POTASSIUM ACETATE 4 MMOL/ML HV,POTASSIUM ACETATE, 4 MMOL/ML HV
VITAMIN E 100/ML HV,VITAMIN E, 100/ML HV
VITAMIN E 50 UNIT/ML HV,VITAMIN E, 50 UNIT/ML HV
PADIMATE O/AVOBENZONE  SK,PADIMATE O/AVOBENZONE  SK,
HYDROCORTISONE ACETATE 0.5 % SK,HYDROCORTISONE ACETATE, 0.5 % SK
LIDOCAINE HCL/POVIDONE-IODINE  YK,LIDOCAINE HCL/POVIDONE-IODINE  YK,
TESTOSTERONE UNDECANOATE 40 MG CA,TESTOSTERONE UNDECANOATE, 40 MG CA
SALBUTAMOL SULPHATE 4 MG FF,SALBUTAMOL SULPHATE, 4 MG FF
SALBUTAMOL SULPHATE 8 MG FF,SALBUTAMOL SULPHATE, 8 MG FF
RANITIDINE HCL 15 MG/ML SJ,RANITIDINE HCL, 15 MG/ML SJ
LEVONORGESTREL/ETHIN.ESTRADIOL 150-30 MCG TA,LEVONORGESTREL/ETHIN.ESTRADIOL, 150-30 MCG TA
DICLOFENAC SODIUM 75 MG TI,DICLOFENAC SODIUM, 75 MG TI
LORATADINE 10 MG TA,LORATADINE, 10 MG TA
FLUORIDE (SODIUM) 0.05 % SM,FLUORIDE (SODIUM), 0.05 % SM
ERGOTAMINE TARTRATE/CAFFEINE 2-100MG QA,ERGOTAMINE TARTRATE/CAFFEINE, 2-100MG QA
PANCREATIN 840 MG TA,PANCREATIN, 840 MG TA
ETHYL CHLORIDE/CRYOFLUORANE 25%-75% AA,ETHYL CHLORIDE/CRYOFLUORANE, 25%-75% AA
DIMENHYDRINATE 25 MG QA,DIMENHYDRINATE, 25 MG QA
SODIUM CHLORIDE IRRIG SOLUTION 12 % SW,SODIUM CHLORIDE IRRIG SOLUTION, 12 % SW
SODIUM CHLORIDE IRRIG SOLUTION 1.6 % SW,SODIUM CHLORIDE IRRIG SOLUTION, 1.6 % SW
DEXTROSE 0.2 % AND 0.9 % NACL 0.2%-0.9% SW,DEXTROSE 0.2 % AND , 0.2 % AND 0.9 % NACL 0.2%-0.9% SW
"NAPH,MB-DB/K PHOS/SOD LAC/GLY  SL","NAPH,MB-DB/K PHOS/SOD LAC/GLY  SL",
SQUILL/WLD CHR/BITTER-BUR/ELEC  ST,SQUILL/WLD CHR/BITTER-BUR/ELEC  ST,
THIAMINE/PYRIDOXINE/VIT B12/C 250-125 MG TA,THIAMINE/PYRIDOXINE/VIT B12/C, 250-125 MG TA
SODIUM SALICYLATE 500 MG TA,SODIUM SALICYLATE, 500 MG TA
CEFTIZOXIME SODIUM 1 G HS,CEFTIZOXIME SODIUM, 1 G HS
CEFTIZOXIME SODIUM 2 G HS,CEFTIZOXIME SODIUM, 2 G HS
ISOTRETINOIN 0.05 % JG,ISOTRETINOIN, 0.05 % JG
MESALAZINE 250 MG QA,MESALAZINE, 250 MG QA
MESALAZINE 500 MG QA,MESALAZINE, 500 MG QA
MIDAZOLAM HCL 1 MG/ML HV,MIDAZOLAM HCL, 1 MG/ML HV
POLYSORBATES 80 SO,POLYSORBATES, 80 SO
UBIDECARENONE 50 MG CA,UBIDECARENONE, 50 MG CA
DEXTROMETHORPHAN/PE/PHENIRAM/C  PP,DEXTROMETHORPHAN/PE/PHENIRAM/C  PP,
PYRANTEL 35 MG TA,PYRANTEL, 35 MG TA
POTASSIUM CHLORIDE IN D5W 10 MMOL/L HM,POTASSIUM CHLORIDE IN D5W, 10 MMOL/L HM
POTASSIUM CHLORIDE IN D5W 30 MMOL/L HM,POTASSIUM CHLORIDE IN D5W, 30 MMOL/L HM
POTASSIUM CHLORIDE IN 0.9%NACL 20 MMOL/L HM,POTASSIUM CHLORIDE IN , 0.9%NACL 20 MMOL/L HM
POTASSIUM CHLORIDE IN 0.9%NACL 40 MMOL/L HM,POTASSIUM CHLORIDE IN , 0.9%NACL 40 MMOL/L HM
POTASSIUM CHLORIDE/D5-0.2%NACL 10 MEQ/L HM,POTASSIUM CHLORIDE/D5-0.2%NACL, 10 MEQ/L HM
POTASSIUM CHLORIDE/D5-0.2%NACL 30 MEQ/L HM,POTASSIUM CHLORIDE/D5-0.2%NACL, 30 MEQ/L HM
POTASSIUM CHLORIDE/D5-0.33NACL 10 MEQ/L HM,POTASSIUM CHLORIDE/D5-0.33NACL, 10 MEQ/L HM
POTASSIUM CHLORIDE/D5-0.33NACL 30 MEQ/L HM,POTASSIUM CHLORIDE/D5-0.33NACL, 30 MEQ/L HM
POTASSIUM CHLORIDE/D5-0.33NACL 40 MEQ/L HM,POTASSIUM CHLORIDE/D5-0.33NACL, 40 MEQ/L HM
POTASSIUM CHLORIDE/D5-0.45NACL 30 MEQ/L HM,POTASSIUM CHLORIDE/D5-0.45NACL, 30 MEQ/L HM
POTASSIUM CHLORIDE/D5-0.9%NACL 20 MMOL/L HM,POTASSIUM CHLORIDE/D5-0.9%NACL, 20 MMOL/L HM
POTASSIUM CHLORIDE/D5-0.9%NACL 40 MMOL/L HM,POTASSIUM CHLORIDE/D5-0.9%NACL, 40 MMOL/L HM
POTASSIUM CHLORIDE IN LR-D5 20 MEQ/L HM,POTASSIUM CHLORIDE IN LR-D5, 20 MEQ/L HM
POTASSIUM CHLORIDE IN LR-D5 40 MEQ/L HM,POTASSIUM CHLORIDE IN LR-D5, 40 MEQ/L HM
BETA-CAROTENE 30000 UNIT TA,BETA-CAROTENE, 30000 UNIT TA
HYDROMORPHONE HCL 1 MG/ML SL,HYDROMORPHONE HCL, 1 MG/ML SL
HYDROMORPHONE HCL 8 MG TA,HYDROMORPHONE HCL, 8 MG TA
LEVOTHYROXINE SODIUM 112 MCG TA,LEVOTHYROXINE SODIUM, 112 MCG TA
LEVOTHYROXINE SODIUM 175 MCG TA,LEVOTHYROXINE SODIUM, 175 MCG TA
BRETYLIUM TOSYLATE 50 MG/ML HV,BRETYLIUM TOSYLATE, 50 MG/ML HV
DOXORUBICIN HCL 2 MG/ML HV,DOXORUBICIN HCL, 2 MG/ML HV
TERBUTALINE SULFATE 0.5 MG AY,TERBUTALINE SULFATE, 0.5 MG AY
TERFENADINE 120 MG TA,TERFENADINE, 120 MG TA
OXYBENZONE/CINOXATE/SUNSCREEN  SK,OXYBENZONE/CINOXATE/SUNSCREEN  SK,
ZINC SULFATE 5 MG/ML HV,ZINC SULFATE, 5 MG/ML HV
DM/PSEUDOEPHED/ACETAMINOPHEN  SL,DM/PSEUDOEPHED/ACETAMINOPHEN  SL,
IRON/VITAMIN D2/MINERALS  TA,IRON/VITAMIN D2/MINERALS  TA,
CHLORHEXIDINE GLUCONATE 0.05 % SA,CHLORHEXIDINE GLUCONATE, 0.05 % SA
VANCOMYCIN HCL 250 MG CA,VANCOMYCIN HCL, 250 MG CA
CARBOPLATIN 10 MG/ML HV,CARBOPLATIN, 10 MG/ML HV
NAPROXEN 750 MG TI,NAPROXEN, 750 MG TI
IOXAGLATE MEG/IOXAGLATE SODIUM 24.6-12.3% HV,IOXAGLATE MEG/IOXAGLATE SODIUM, 24.6-12.3% HV
KETOCONAZOLE 20 MG/ML SC,KETOCONAZOLE, 20 MG/ML SC
PPA/ACETAMINOPHEN/CAFFEINE  TA,PPA/ACETAMINOPHEN/CAFFEINE  TA,
LIPASE/PROTEASE/AMYLASE 16.8-40-70 CE,LIPASE/PROTEASE/AMYLASE, 16.8-40-70 CE
LIPASE/PROTEASE/AMYLASE 10.5K-25K CE,LIPASE/PROTEASE/AMYLASE, 10.5K-25K CE
LIPASE/PROTEASE/AMYLASE 4.2K-10K CE,LIPASE/PROTEASE/AMYLASE, 4.2K-10K CE
ACTIVATED CHARCOAL 260 MG CA,ACTIVATED CHARCOAL, 260 MG CA
DEXTROSE 70 % IN WATER 70 % HV,DEXTROSE , 70 % IN WATER 70 % HV
OXYCODONE HCL 5 MG TA,OXYCODONE HCL, 5 MG TA
IRON/AMINO ACIDS/CAL/MULTIVIT  TA,IRON/AMINO ACIDS/CAL/MULTIVIT  TA,
OXYBENZONE/OCTINOXATE/OCTOCRYL SPF 50 KA,OXYBENZONE/OCTINOXATE/OCTOCRYL SPF, 50 KA
CHLORPHENIRAMINE/PSEUDOEPHED 4 MG-60 MG CA,CHLORPHENIRAMINE/PSEUDOEPHED, 4 MG-60 MG CA
POTASSIUM CHLORIDE/D5-0.45NACL 10 MEQ/L HM,POTASSIUM CHLORIDE/D5-0.45NACL, 10 MEQ/L HM
LIDOCAINE/POVIDONE-IODINE  SL,LIDOCAINE/POVIDONE-IODINE  SL,
VITAMIN E ACETATE 30 UNIT/G OA,VITAMIN E ACETATE, 30 UNIT/G OA
SELEGILINE HCL 5 MG TA,SELEGILINE HCL, 5 MG TA
PHENYLEPHRINE HCL/HYDROCODONE 10-1.7/5ML ST,PHENYLEPHRINE HCL/HYDROCODONE, 10-1.7/5ML ST
PHENYLEPH/ACETAMINOPH/PHENIR/C 10-500-20 PP,PHENYLEPH/ACETAMINOPH/PHENIR/C, 10-500-20 PP
PSEUDOEPHEDRINE/ACETAMINOPHEN 60-500MG TA,PSEUDOEPHEDRINE/ACETAMINOPHEN, 60-500MG TA
CEFTAZIDIME 6 G HS,CEFTAZIDIME, 6 G HS
NICARDIPINE HCL 20 MG CA,NICARDIPINE HCL, 20 MG CA
NICARDIPINE HCL 30 MG CA,NICARDIPINE HCL, 30 MG CA
TIOCONAZOLE 6.5 % OV,TIOCONAZOLE, 6.5 % OV
AMDINOCILLIN 185 MG TA,AMDINOCILLIN, 185 MG TA
PHENYLEPH/ACETAMINOPH/PYRILA/C 5-325-20MG PP,PHENYLEPH/ACETAMINOPH/PYRILA/C, 5-325-20MG PP
FERROUS SULFATE 150(30)/5 SL,FERROUS SULFATE, 150(30)/5 SL
ACETAMINOPHEN 80 MG/5 ML SL,ACETAMINOPHEN, 80 MG/5 ML SL
SALICYLIC ACID 3 % SS,SALICYLIC ACID, 3 % SS
POTASSIUM ALUM/POTASS CHLORATE  SL,POTASSIUM ALUM/POTASS CHLORATE  SL,
CARBAMIDE PEROXIDE  TA,CARBAMIDE PEROXIDE  TA,
VITAMIN E 50 UNIT/G OA,VITAMIN E, 50 UNIT/G OA
SENNOSIDE B  PX,SENNOSIDE B  PX,
DOCUSATE SODIUM 50 MG/5 ML SL,DOCUSATE SODIUM, 50 MG/5 ML SL
POVIDONE-IODINE 20 % YV,POVIDONE-IODINE, 20 % YV
YOHIMBINE HCL 5.4 MG TA,YOHIMBINE HCL, 5.4 MG TA
LOVASTATIN 40 MG TA,LOVASTATIN, 40 MG TA
LOVASTATIN 20 MG TA,LOVASTATIN, 20 MG TA
"INSULIN REG-ISOPHANE,NPH HUMAN 30-70/ML HV","INSULIN REG-ISOPHANE,NPH HUMAN", 30-70/ML HV
PIPERONYL BUTOXIDE/ALLETHRINS  SS,PIPERONYL BUTOXIDE/ALLETHRINS  SS,
"MINERAL OIL/PETROLATUM,WHITE 15%-85% OA","MINERAL OIL/PETROLATUM,WHITE", 15%-85% OA
DESOXIMETASONE 0.25 % OA,DESOXIMETASONE, 0.25 % OA
MESNA/PF 100 MG/ML HH,MESNA/PF, 100 MG/ML HH
IFOSFAMIDE 1 G HS,IFOSFAMIDE, 1 G HS
IFOSFAMIDE 2 G HS,IFOSFAMIDE, 2 G HS
ASCORBIC ACID/ASCORBATE SODIUM 25 MG TL,ASCORBIC ACID/ASCORBATE SODIUM, 25 MG TL
CALCIUM CHLORIDE 0.25MMOL/L JL,CALCIUM CHLORIDE, 0.25MMOL/L JL
POTASSIUM ACETATE  PG,POTASSIUM ACETATE  PG,
MAGNESIUM CHLORIDE  HS,MAGNESIUM CHLORIDE  HS,
DEXTROSE 5.55MMOL/L JL,DEXTROSE, 5.55MMOL/L JL
CALCIUM CHLORIDE  PA,CALCIUM CHLORIDE  PA,
HOMEOPATHIC DRUGS  PG,HOMEOPATHIC DRUGS  PG,
PADIMATE O/CINOXATE  EH,PADIMATE O/CINOXATE  EH,
BETA-CAROTENE(A)-VITS C AND E  TA,BETA-CAROTENE(A)-VITS C AND E  TA,
SODIUM FLUORIDE/VIT A/VIT C/D2  SL,SODIUM FLUORIDE/VIT A/VIT C/D2  SL,
DIALYSIS SOLUTIONS 370MOSM/L HY,DIALYSIS SOLUTIONS, 370MOSM/L HY
DIALYSIS SOLUTIONS 510MOSM/L HY,DIALYSIS SOLUTIONS, 510MOSM/L HY
PERIT. DIALYSIS 23-DEX 0.5 % 1.62MMOLCA HY,PERIT. DIALYSIS 23-DEX , 23-DEX 0.5 % 1.62MMOLCA HY
PERIT. DIALYSIS 22-DEX 4.25 % 1.62MMOLCA HY,PERIT. DIALYSIS 22-DEX , 22-DEX 4.25 % 1.62MMOLCA HY
PERIT. DIALYSIS 25-DEX 1.5 % 1.62MMOLCA HY,PERIT. DIALYSIS 25-DEX , 25-DEX 1.5 % 1.62MMOLCA HY
PERIT. DIALYSIS 26-DEX 2.5 % 1.62MMOLCA HY,PERIT. DIALYSIS 26-DEX , 26-DEX 2.5 % 1.62MMOLCA HY
VANCOMYCIN HCL 125 MG CA,VANCOMYCIN HCL, 125 MG CA
PYRITHIONE ZINC/MENTHOL 2-0.3% SS,PYRITHIONE ZINC/MENTHOL, 2-0.3% SS
SALICYLIC ACID/COAL TAR/MENTH 2.1-8-1.2% SS,SALICYLIC ACID/COAL TAR/MENTH, 2.1-8-1.2% SS
DICHLOROACETIC ACID 100 % SL,DICHLOROACETIC ACID, 100 % SL
FLUORIDE (SODIUM) 1.1 MG TC,FLUORIDE (SODIUM), 1.1 MG TC
CHLORHEXIDINE GLUCONATE 0.5 % JG,CHLORHEXIDINE GLUCONATE, 0.5 % JG
LACTASE 125 MG CA,LACTASE, 125 MG CA
LACTASE 260 MG CA,LACTASE, 260 MG CA
