,FullDosage,MedName,Dosage/Concentration,Quantity
53938,ENALAPRIL/HYDROCHLOROTHIAZIDE 8(10)-25MG TA,ENALAPRIL/HYDROCHLOROTHIAZIDE,8(10)-25MG TA,0
53988,CEFTRIAXONE SODIUM 250 MG HS,CEFTRIAXONE,SODIUM 250 MG HS,0
53989,TIOCONAZOLE 1 % KA,TIOCONAZOLE,1 % KA,0
53990,CEFTRIAXONE SODIUM 2 G HS,CEFTRIAXONE,SODIUM 2 G HS,0
54020,CEFTRIAXONE SODIUM 1 G HS,CEFTRIAXONE,SODIUM 1 G HS,0
54050,CEFTRIAXONE SODIUM 500 MG HS,CEFTRIAXONE,SODIUM 500 MG HS,0
54052,ALUMINUM GLUCONATE  AA,ALUMINUM,GLUCONATE  AA,0
54053,ZINC GLUCONATE/COPPER GLUC  AA,ZINC,GLUCONATE/COPPER GLUC  AA,0
54054,ZINC GLUCONATE  AA,ZINC,GLUCONATE  AA,0
54055,SODIUM THIOSULFATE  SL,SODIUM,THIOSULFATE  SL,0
54056,POTASSIUM GLUCONATE 0.24MG/2ML SJ,POTASSIUM,GLUCONATE 0.24MG/2ML SJ,0
54057,PHOSPHORUS  AA,PHOSPHORUS, AA,0
54058,COBALT GLUCONATE/NICK GL 0.55MG/2ML SJ,COBALT,GLUCONATE/NICK GL 0.55MG/2ML SJ,0
54059,COPPER GLUC/MANG GL/COBALT  AA,COPPER,GLUC/MANG GL/COBALT  AA,0
54060,COPPER GLUCONATE/MANGANESE GL  AA,COPPER,GLUCONATE/MANGANESE GL  AA,0
54061,FLUORIDE (SODIUM)  AA,FLUORIDE,(SODIUM)  AA,0
54062,GOLD AU-198/COPPER/SILVER  SL,GOLD,AU-198/COPPER/SILVER  SL,0
54063,COPPER GLUCONATE  AA,COPPER,GLUCONATE  AA,0
54064,COBALT GLUCONATE 0.45MG/2 SJ,COBALT,GLUCONATE 0.45MG/2 SJ,0
54065,ZN GLUC/COBALT GLUCONATE/NICK  AA,ZN,GLUC/COBALT GLUCONATE/NICK  AA,0
54066,MANGANESE GL/COBALT GLUCONATE  AA,MANGANESE,GL/COBALT GLUCONATE  AA,0
54067,IODINE  AA,IODINE, AA,0
54068,MAGNESIUM GLUCONATE  AA,MAGNESIUM,GLUCONATE  AA,0
54069,MANGANESE GLUCONATE 0.59MG/2ML SJ,MANGANESE,GLUCONATE 0.59MG/2ML SJ,0
54070,SENNA 175 MG TA,SENNA,175 MG TA,0
54071,CARBOXYMETHYLCELLULOSE SODIUM 300 MG CA,CARBOXYMETHYLCELLULOSE,SODIUM 300 MG CA,0
54080,ACETAMINOPHEN 160 MG TA,ACETAMINOPHEN,160 MG TA,0
54083,SODIUM HYPOCHLORITE 0.5 % SA,SODIUM,HYPOCHLORITE 0.5 % SA,0
54086,TOLNAFTATE 1 % AA,TOLNAFTATE,1 % AA,0
54091,METOPROLOL TARTRATE 100 MG TS,METOPROLOL,TARTRATE 100 MG TS,0
54145,D-METHORPHN/PE/ACETAMIN/PHENIR  PP,D-METHORPHN/PE/ACETAMIN/PHENIR, PP,0
54146,PHENYLEPHRINE HCL/PHENIRAMINE 10 MG-20MG PP,PHENYLEPHRINE,HCL/PHENIRAMINE 10 MG-20MG PP,0
54151,ASCORBIC ACID/MINERALS 750 MG TA,ASCORBIC,ACID/MINERALS 750 MG TA,0
54153,CASCARA SAGRADA/HERBS/RHUBARB  CA,CASCARA,SAGRADA/HERBS/RHUBARB  CA,0
54157,CEPHALOTHIN SODIUM 20 G HS,CEPHALOTHIN,SODIUM 20 G HS,0
54158,PRENATAL VIT/IRON FUM/FOLIC AC 9 MG-0.5MG TA,PRENATAL,VIT/IRON FUM/FOLIC AC 9 MG-0.5MG TA,0
54162,CEFSULODIN SODIUM 1 G HS,CEFSULODIN,SODIUM 1 G HS,0
54163,GEMFIBROZIL 600 MG TA,GEMFIBROZIL,600 MG TA,0
54164,TRIPELENNAMINE HCL 2 % ET,TRIPELENNAMINE,HCL 2 % ET,0
54165,METHYLCELLULOSE  PA,METHYLCELLULOSE, PA,0
54167,CASCARA SAGRADA/SENNA/HERBS  EA,CASCARA,SAGRADA/SENNA/HERBS  EA,0
54168,HERBAL DRUGS  EA,HERBAL,DRUGS  EA,0
54173,LECITHIN/DIMETHICONE 0.3-1.5 KA,LECITHIN/DIMETHICONE,0.3-1.5 KA,0
54174,LECITHIN/DIMETHICONE 0.1-0.5 KA,LECITHIN/DIMETHICONE,0.1-0.5 KA,0
54175,LECITHIN/DIMETHICONE  SK,LECITHIN/DIMETHICONE, SK,0
54176,UREA 25 % SK,UREA,25 % SK,0
54180,SHARK LIVER OIL 5000 UNIT CA,SHARK,LIVER OIL 5000 UNIT CA,0
54206,MAGNESIUM GLUCOHEPTONATE 10.24 MG CA,MAGNESIUM,GLUCOHEPTONATE 10.24 MG CA,0
54213,CYANOCOBALAMIN/FOLIC ACID 1000MCG-1 TA,CYANOCOBALAMIN/FOLIC,ACID 1000MCG-1 TA,0
54215,POTASSIUM IODIDE 0.5 MG TA,POTASSIUM,IODIDE 0.5 MG TA,0
54216,SENNA/RHUBARB  TA,SENNA/RHUBARB, TA,0
54248,TITANIUM DIOXIDE  KA,TITANIUM,DIOXIDE  KA,0
54252,TITANIUM DIOXIDE/PADIMATE O  SU,TITANIUM,DIOXIDE/PADIMATE O  SU,0
54257,MORPHINE SULFATE/PF 1 MG/ML HV,MORPHINE,SULFATE/PF 1 MG/ML HV,0
54287,MUMPS SKIN TEST ANTIGEN  HV,MUMPS,SKIN TEST ANTIGEN  HV,0
54292,BENZOCAINE/HYDROCORTISONE/ZINC 1-10-0.5% OA,BENZOCAINE/HYDROCORTISONE/ZINC,1-10-0.5% OA,0
54293,BENZOCAINE/ZINC SULFATE 10%-0.5% OA,BENZOCAINE/ZINC,SULFATE 10%-0.5% OA,0
54295,"FOLIC ACID/MULTIVIT,IRON,MINER 1 MG TA",FOLIC,"ACID/MULTIVIT,IRON,MINER 1 MG TA",0
54296,AMINO ACIDS/VIT C/E/NIA/B6/MIN  CA,AMINO,ACIDS/VIT C/E/NIA/B6/MIN  CA,0
54300,"ANTIHEMOPHILIC FACTOR, HUM REC 1000 (+/-) YK",ANTIHEMOPHILIC,"FACTOR, HUM REC 1000 (+/-) YK",0
54301,"ANTIHEMOPHILIC FACTOR, HUMAN 750 (+/-) HS",ANTIHEMOPHILIC,"FACTOR, HUMAN 750 (+/-) HS",0
54307,CYANOCOBALAMIN/FOLIC ACID 0.25-0.4MG TA,CYANOCOBALAMIN/FOLIC,ACID 0.25-0.4MG TA,0
54309,PANTOTHENIC ACID (VIT B5) 300 MG TA,PANTOTHENIC,ACID (VIT B5) 300 MG TA,0
54314,METHIONINE/INOSITOL/CHOLINE/B6  TA,METHIONINE/INOSITOL/CHOLINE/B6, TA,0
54315,AMINO ACIDS/CALCIUM/MAG/VIT B6  TA,AMINO,ACIDS/CALCIUM/MAG/VIT B6  TA,0
54317,BETA-CAROTENE/HALIB LIV OIL  CA,BETA-CAROTENE/HALIB,LIV OIL  CA,0
54318,JUNIPER TAR 20 MG CA,JUNIPER,TAR 20 MG CA,0
54319,AMINO ACID/VIT C/PANTOT AC/MIN  TA,AMINO,ACID/VIT C/PANTOT AC/MIN  TA,0
54329,CEFOXITIN SODIUM 1 G HS,CEFOXITIN,SODIUM 1 G HS,0
54330,CEFOXITIN SODIUM 2 G HS,CEFOXITIN,SODIUM 2 G HS,0
54333,KETOPROFEN 100 MG TE,KETOPROFEN,100 MG TE,0
54334,ZINC/COPPER/MANGAN/CHROMIC CHL  HV,ZINC/COPPER/MANGAN/CHROMIC,CHL  HV,0
54336,ASCORBIC ACID/ZINC 30 MG-15MG TL,ASCORBIC,ACID/ZINC 30 MG-15MG TL,0
54343,GUAIFENESIN/ACETAMINOPHEN 200-650 MG QA,GUAIFENESIN/ACETAMINOPHEN,200-650 MG QA,0
54344,GUAIFENESIN/ACETAMINOPHEN 100-320 MG QA,GUAIFENESIN/ACETAMINOPHEN,100-320 MG QA,0
54384,DANDELION/BARBERRY/RADISH  TA,DANDELION/BARBERRY/RADISH, TA,0
54395,ZINC GLUCONATE 11.5 MG TL,ZINC,GLUCONATE 11.5 MG TL,0
54396,ASCORBIC ACID/VITAMIN E  TA,ASCORBIC,ACID/VITAMIN E  TA,0
54402,CARBAMAZEPINE 200 MG TC,CARBAMAZEPINE,200 MG TC,0
54445,MORPHINE SULFATE 15 MG TS,MORPHINE,SULFATE 15 MG TS,0
54446,MORPHINE SULFATE 30 MG TS,MORPHINE,SULFATE 30 MG TS,0
54447,MORPHINE SULFATE 60 MG TS,MORPHINE,SULFATE 60 MG TS,0
54483,MORPHINE SULFATE 100 MG TS,MORPHINE,SULFATE 100 MG TS,0
54514,PEP/OX BILE/PANCRE/BETA/HRB110 125-75-200 TA,PEP/OX,BILE/PANCRE/BETA/HRB110 125-75-200 TA,0
54515,POTASS/VIT C/VIT B12/FOLIC AC  TA,POTASS/VIT,C/VIT B12/FOLIC AC  TA,0
54518,LACTOBACILLUS ACIDOPHILUS  CA,LACTOBACILLUS,ACIDOPHILUS  CA,0
54536,NEOMYCIN SULF/POLYMYXIN B SULF 40-200K/ML HH,NEOMYCIN,SULF/POLYMYXIN B SULF 40-200K/ML HH,0
54537,NEOMYCIN/BACITRACIN/AMINO ACID  KA,NEOMYCIN/BACITRACIN/AMINO,ACID  KA,0
54568,NEOMYCIN/BACITRACIN/POLYMYXINB  AB,NEOMYCIN/BACITRACIN/POLYMYXINB, AB,0
54598,NEOMYCIN/POLYMYXN B/GRAMICIDIN 3.5-10K/G KA,NEOMYCIN/POLYMYXN,B/GRAMICIDIN 3.5-10K/G KA,0
54599,NEOMYCIN/POLYMYXIN B/HYDROCORT 3.5-10-10 SN,NEOMYCIN/POLYMYXIN,B/HYDROCORT 3.5-10-10 SN,0
54659,NEOMYC/BACIT/POLYMYX/HYDROCORT 1 % OA,NEOMYC/BACIT/POLYMYX/HYDROCORT,1 % OA,0
54660,SODIUM CHLORIDE FOR INHALATION 0.9 % AA,SODIUM,CHLORIDE FOR INHALATION 0.9 % AA,0
54661,SODIUM CHLORIDE FOR INHALATION 0.45 % AA,SODIUM,CHLORIDE FOR INHALATION 0.45 % AA,0
54663,ASCORBIC ACID/RIBOFLAVIN/MIN  PG,ASCORBIC,ACID/RIBOFLAVIN/MIN  PG,0
54664,ACETYLSALICYLIC ACID/CAFFEINE 325MG-30MG TA,ACETYLSALICYLIC,ACID/CAFFEINE 325MG-30MG TA,0
54679,SALBUTAMOL SULPHATE 2.5MG/2.5 AL,SALBUTAMOL,SULPHATE 2.5MG/2.5 AL,0
54680,"HEPARIN SOD,PORCINE/ZINC SULF 160-5/G JG",HEPARIN,"SOD,PORCINE/ZINC SULF 160-5/G JG",0
54751,AMINO ACIDS/BETA-CAROTENE/ZINC  TA,AMINO,ACIDS/BETA-CAROTENE/ZINC  TA,0
54752,AMINO ACIDS/COPPER 3 MG TA,AMINO,ACIDS/COPPER 3 MG TA,0
54753,ASCORBATE CAL/THIAMINE/MANG 100-20-50 TA,ASCORBATE,CAL/THIAMINE/MANG 100-20-50 TA,0
54754,AMINO ACIDS/POT/B COMP/POT IOD  TA,AMINO,ACIDS/POT/B COMP/POT IOD  TA,0
54755,VIT B6/ZN HVP CHELT/CU/MANG 5-50-1-5 TA,VIT,B6/ZN HVP CHELT/CU/MANG 5-50-1-5 TA,0
54770,BETAINE HCL/PAPAIN 310-100MG TA,BETAINE,HCL/PAPAIN 310-100MG TA,0
54772,SALICYLIC ACID/SULFUR 1.5-4% SL,SALICYLIC,ACID/SULFUR 1.5-4% SL,0
54773,RESORCINOL/SULFUR  SK,RESORCINOL/SULFUR, SK,0
54789,PPA/ACETAMINOPHEN/CHLORPHENIR 3.4-80-0.5 TA,PPA/ACETAMINOPHEN/CHLORPHENIR,3.4-80-0.5 TA,0
54790,ACETAMINOPHEN/CHLORPHENIRAMINE  SO,ACETAMINOPHEN/CHLORPHENIRAMINE, SO,0
54826,HOMEOPATHIC DRUGS  TA,HOMEOPATHIC,DRUGS  TA,0
54861,SALICYLIC ACID/MENTH/CAMPH/PDO  OA,SALICYLIC,ACID/MENTH/CAMPH/PDO  OA,0
54862,SALBUTAMOL SULPHATE 0.4 MG/ML SL,SALBUTAMOL,SULPHATE 0.4 MG/ML SL,0
54863,ENALAPRIL SODIUM 8 MG(10MG) TA,ENALAPRIL,SODIUM 8 MG(10MG) TA,0
54905,ENALAPRIL SODIUM 16MG(20MG) TA,ENALAPRIL,SODIUM 16MG(20MG) TA,0
55059,ASCORBIC ACID/ZINC GLUCONATE 250-350 MG TA,ASCORBIC,ACID/ZINC GLUCONATE 250-350 MG TA,0
55062,MAGALDRATE/ALGINIC ACID 400-100 MG TA,MAGALDRATE/ALGINIC,ACID 400-100 MG TA,0
55085,THYMOL/ISOPROPYL ALCOHOL  SK,THYMOL/ISOPROPYL,ALCOHOL  SK,0
55087,ACETYLSALICYLIC ACID 80 MG TA,ACETYLSALICYLIC,ACID 80 MG TA,0
55088,HOMOSALATE/SUNSCREEN  EH,HOMOSALATE/SUNSCREEN, EH,0
55092,LEUCOVORIN CALCIUM 15 MG HS,LEUCOVORIN,CALCIUM 15 MG HS,0
55154,BENZALKONIUM CHLORIDE 0.15 % SA,BENZALKONIUM,CHLORIDE 0.15 % SA,0
55155,BENZETHONIUM/ALUMINUM ACETATE 0.03%-0.5% SO,BENZETHONIUM/ALUMINUM,ACETATE 0.03%-0.5% SO,0
55156,VIT A PALM/VIT D2/BENZETHON CL  KA,VIT,A PALM/VIT D2/BENZETHON CL  KA,0
55157,VIT A/VIT D2/C-XYL/BENZET CL  OA,VIT,A/VIT D2/C-XYL/BENZET CL  OA,0
55161,NAPHAZOLINE NIT/METHYLENE BLUE 0.05-0.02% SO,NAPHAZOLINE,NIT/METHYLENE BLUE 0.05-0.02% SO,0
55174,ALBUMIN HUMAN IN 0.9 % NACL 0.03 % HV,ALBUMIN,HUMAN IN 0.9 % NACL 0.03 % HV,0
55175,LACTASE 3000 UNIT TA,LACTASE,3000 UNIT TA,0
55177,CALCIUM CARBONATE/VITAMIN D2 1000-66.7 TA,CALCIUM,CARBONATE/VITAMIN D2 1000-66.7 TA,0
55179,CEFADROXIL 250 MG/5ML PD,CEFADROXIL,250 MG/5ML PD,0
55196,TRICLOSAN 0.3 % SK,TRICLOSAN,0.3 % SK,0
55204,TRIMETHOPRIM 100 MG TA,TRIMETHOPRIM,100 MG TA,0
55225,MORPHINE SULFATE 50 MG TA,MORPHINE,SULFATE 50 MG TA,0
55281,DEXTROMETHORPHAN HBR 5 MG TL,DEXTROMETHORPHAN,HBR 5 MG TL,0
55282,DYCLONINE HCL 0.1 % AS,DYCLONINE,HCL 0.1 % AS,0
55298,MAG/ALUMINUM/BICARB/ALGINIC AC  TC,MAG/ALUMINUM/BICARB/ALGINIC,AC  TC,0
55299,MORPHINE SULFATE 25 MG/ML HV,MORPHINE,SULFATE 25 MG/ML HV,0
55308,PRENATAL VIT/IRON FUM/FOLIC AC 50-1MG TA,PRENATAL,VIT/IRON FUM/FOLIC AC 50-1MG TA,0
55309,PRENATAL VIT/IRON FUM/FOLIC AC 75-1MG TA,PRENATAL,VIT/IRON FUM/FOLIC AC 75-1MG TA,0
55310,MULTIVITAMIN WITH IRON/B-CAINE  TL,MULTIVITAMIN,WITH IRON/B-CAINE  TL,0
55311,HOMEOPATHIC DRUGS  QA,HOMEOPATHIC,DRUGS  QA,0
55325,"PEG3350/SOD SULF,BICARB,CL/KCL 240-22.72G PI",PEG3350/SOD,"SULF,BICARB,CL/KCL 240-22.72G PI",0
55331,PSYLLIUM SEED/SOD BICARB  PA,PSYLLIUM,SEED/SOD BICARB  PA,0
55335,"HEPARIN SOD,PORCINE/0.9 % NACL 2 UNIT/ML HM",HEPARIN,"SOD,PORCINE/0.9 % NACL 2 UNIT/ML HM",0
55336,THROMBIN/FIBRINOGEN/APRO/CAL  YK,THROMBIN/FIBRINOGEN/APRO/CAL, YK,0
55337,GUAIFENESIN/PHENYLPROPANOLAMIN 600-75MG TS,GUAIFENESIN/PHENYLPROPANOLAMIN,600-75MG TS,0
55338,TRIMETHOPRIM 200 MG TA,TRIMETHOPRIM,200 MG TA,0
55393,PANCREA/BETAIN/PEP/GLUTA/OX BI 70-240-35 CA,PANCREA/BETAIN/PEP/GLUTA/OX,BI 70-240-35 CA,0
55414,SODIUM BICARBONATE  HS,SODIUM,BICARBONATE  HS,0
55426,ASCORBIC ACID/MINERALS  PA,ASCORBIC,ACID/MINERALS  PA,0
55428,ZINC SULFATE 1.35MG/ML SL,ZINC,SULFATE 1.35MG/ML SL,0
55430,CALCIUM CARB/MAGNESIUM OXID/D3 250 MG-100 CA,CALCIUM,CARB/MAGNESIUM OXID/D3 250 MG-100 CA,0
55445,BUSERELIN ACETATE 1 MG/ML HV,BUSERELIN,ACETATE 1 MG/ML HV,0
55446,BUSERELIN ACETATE 100 MCG BD,BUSERELIN,ACETATE 100 MCG BD,0
55447,CARBOPLATIN 150 MG HS,CARBOPLATIN,150 MG HS,0
55448,SOMATREM 10 MG HS,SOMATREM,10 MG HS,0
55449,HAEMOPH B POLYSAC CONJ-DIP TOX  HV,HAEMOPH,B POLYSAC CONJ-DIP TOX  HV,0
55494,ASA/CALCIUM CARB/MAG/ALUMINUM 325 MG TA,ASA/CALCIUM,CARB/MAG/ALUMINUM 325 MG TA,0
55498,VITAMIN A/VIT C/VITAMIN D2  SO,VITAMIN,A/VIT C/VITAMIN D2  SO,0
55503,FERROUS SULFATE 325(65) MG TA,FERROUS,SULFATE 325(65) MG TA,0
55668,GENTAMICIN/BETAMETHASONE SODPH 0.3 %-0.1% SO,GENTAMICIN/BETAMETHASONE,SODPH 0.3 %-0.1% SO,0
55669,ERYTHROMYCIN LACTOBIONATE 500 MG HS,ERYTHROMYCIN,LACTOBIONATE 500 MG HS,0
55729,AMDINOCILLIN 400 MG HS,AMDINOCILLIN,400 MG HS,0
55730,AMINO AC 3%/ELECTROLYTE/GLYCER 3 % HM,AMINO,AC 3%/ELECTROLYTE/GLYCER 3 % HM,0
55731,BROMAZEPAM 1.5 MG TA,BROMAZEPAM,1.5 MG TA,0
55888,CHLORAMINE T  PA,CHLORAMINE,T  PA,0
55897,SULFUR 5 % ED,SULFUR,5 % ED,0
55917,POTASS/CALCIUM CARB/MAG/VIT C  CA,POTASS/CALCIUM,CARB/MAG/VIT C  CA,0
55918,ACETAMINOPHEN WITH CODEINE 160-8MG/5 SE,ACETAMINOPHEN,WITH CODEINE 160-8MG/5 SE,0
55920,SALICYLIC ACID 2 % SK,SALICYLIC,ACID 2 % SK,0
55925,MAG CARB/ALUMINUM HYDROX/ALGIN  SC,MAG,CARB/ALUMINUM HYDROX/ALGIN  SC,0
55941,OXYBENZONE/CINOXATE  KA,OXYBENZONE/CINOXATE, KA,0
55942,HEXYLRESORCINOL/MENTHOL  TL,HEXYLRESORCINOL/MENTHOL, TL,0
55945,MICONAZOLE NITRATE 400 MG-2 % YK,MICONAZOLE,NITRATE 400 MG-2 % YK,0
56020,VIT B COMP/FOLIC/CHOLINE/INOSI 1 MG-50 MG TA,VIT,B COMP/FOLIC/CHOLINE/INOSI 1 MG-50 MG TA,0
56022,CALCIUM CARBONATE 333 MG TC,CALCIUM,CARBONATE 333 MG TC,0
56028,COPPER HVP CHELATE 5 MG CA,COPPER,HVP CHELATE 5 MG CA,0
56029,ZINC HVP CHELATE 30 MG CA,ZINC,HVP CHELATE 30 MG CA,0
56030,IRON HVP CHELATE 40 MG CA,IRON,HVP CHELATE 40 MG CA,0
56032,MANGANESE HVP CHELATE 15 MG CA,MANGANESE,HVP CHELATE 15 MG CA,0
56034,VECURONIUM BROMIDE 10 MG HS,VECURONIUM,BROMIDE 10 MG HS,0
56035,TRIFLURIDINE 1 % SO,TRIFLURIDINE,1 % SO,0
56072,BENZOCAINE/ZINC/BENZALKONIUM  JG,BENZOCAINE/ZINC/BENZALKONIUM, JG,0
56073,ALUMINUM CHLORIDE 20 % JG,ALUMINUM,CHLORIDE 20 % JG,0
56075,NIACIN 250 MG TA,NIACIN,250 MG TA,0
56078,FERROUS GLUCONATE 16.7 MG/15 SL,FERROUS,GLUCONATE 16.7 MG/15 SL,0
56079,VITAMIN E/VIT B6/MINERALS  TA,VITAMIN,E/VIT B6/MINERALS  TA,0
56081,CALCIUM CARBONATE/VITAMIN D3 250MG-133 TA,CALCIUM,CARBONATE/VITAMIN D3 250MG-133 TA,0
56083,FLUORESCEIN SODIUM 1 MG YR,FLUORESCEIN,SODIUM 1 MG YR,0
56086,NAPHAZOLINE HCL/METHYLENE BLUE 0.05-0.02% SO,NAPHAZOLINE,HCL/METHYLENE BLUE 0.05-0.02% SO,0
56091,ASCORBIC ACID 1 G/5 ML SL,ASCORBIC,ACID 1 G/5 ML SL,0
56098,BETAMETHASONE/PROPYLENE GLYC 0.05 % KA,BETAMETHASONE/PROPYLENE,GLYC 0.05 % KA,0
56134,PROCAINAMIDE HCL 1000 MG TS,PROCAINAMIDE,HCL 1000 MG TS,0
56168,ACETAMINOPHEN/CAFFEINE 500MG-65MG TA,ACETAMINOPHEN/CAFFEINE,500MG-65MG TA,0
56169,ACETAMINOPHEN/CAFFEINE 325MG-65MG TA,ACETAMINOPHEN/CAFFEINE,325MG-65MG TA,0
56179,"MULTIVITAMIN,THERAPEUTIC  TA","MULTIVITAMIN,THERAPEUTIC", TA,0
56181,VITAMIN E/EVENING PRIMROSE OIL  CA,VITAMIN,E/EVENING PRIMROSE OIL  CA,0
56191,THIAMINE HCL 250 MG TS,THIAMINE,HCL 250 MG TS,0
56192,MAGNESIUM OXIDE 835MG TA,MAGNESIUM,OXIDE 835MG TA,0
56193,ASCORBIC ACID/VIT E ACET/SEL  TA,ASCORBIC,ACID/VIT E ACET/SEL  TA,0
56195,AMINO ACIDS/MAG/VITAMIN D2/B6  TA,AMINO,ACIDS/MAG/VITAMIN D2/B6  TA,0
56196,CALCIUM GLUCONATE  PA,CALCIUM,GLUCONATE  PA,0
56200,DEXTROMETHORPHAN HBR 30 MG CA,DEXTROMETHORPHAN,HBR 30 MG CA,0
56201,PADIMATE O/HYDROQUINONE  KA,PADIMATE,O/HYDROQUINONE  KA,0
56202,MORPHINE HCL 10 MG TA,MORPHINE,HCL 10 MG TA,0
56203,MORPHINE HCL 20 MG TA,MORPHINE,HCL 20 MG TA,0
56204,MORPHINE HCL 40 MG TA,MORPHINE,HCL 40 MG TA,0
56240,MORPHINE HCL 50 MG/ML SL,MORPHINE,HCL 50 MG/ML SL,0
56242,MORPHINE HCL 60 MG TA,MORPHINE,HCL 60 MG TA,0
56280,VINCRISTINE SULFATE 5 MG HS,VINCRISTINE,SULFATE 5 MG HS,0
56288,"FERROUS SULFATE/VIT BCOMP,C  TA",FERROUS,"SULFATE/VIT BCOMP,C  TA",0
56289,MENTHOL/CAMPHOR  JG,MENTHOL/CAMPHOR, JG,0
56291,IRON/AMINO ACIDS/ZINC/COPPER 25-15-3MG TA,IRON/AMINO,ACIDS/ZINC/COPPER 25-15-3MG TA,0
56293,IRON/AMINO ACIDS/CHROMIUM  TA,IRON/AMINO,ACIDS/CHROMIUM  TA,0
56297,MORPHINE HCL 20 MG/ML ST,MORPHINE,HCL 20 MG/ML ST,0
56343,ACETYLSALICYLIC ACID/CAFFEINE 325MG-65MG TA,ACETYLSALICYLIC,ACID/CAFFEINE 325MG-65MG TA,0
56399,SODIUM BICARBONATE 37 MMOL/L SA,SODIUM,BICARBONATE 37 MMOL/L SA,0
56406,DIALYSIS SOLUTIONS/D2.5W 2.5 % HY,DIALYSIS,SOLUTIONS/D2.5W 2.5 % HY,0
56489,DEXTROSE/SOD CITRATE/CITRIC AC 1.47-1.32G SA,DEXTROSE/SOD,CITRATE/CITRIC AC 1.47-1.32G SA,0
56490,DEXTROSE 2.4 %/SODIUM CITRATE  HV,DEXTROSE,2.4 %/SODIUM CITRATE  HV,0
56491,DEXTROSE 10 %-0.9 % NACL 10 %-0.9 % HV,DEXTROSE,10 %-0.9 % NACL 10 %-0.9 % HV,0
56499,SULFUR 4 % KA,SULFUR,4 % KA,0
56502,CAPSICUM OLEORESIN/TURP OIL  OA,CAPSICUM,OLEORESIN/TURP OIL  OA,0
56504,"SODIUM PHOSPHATE,MONOBASIC/GLY  HV",SODIUM,"PHOSPHATE,MONOBASIC/GLY  HV",0
56639,PYRIMETHAMINE/SULFADOXINE 25MG-500MG TA,PYRIMETHAMINE/SULFADOXINE,25MG-500MG TA,0
56640,NIFEDIPINE 10 MG TS,NIFEDIPINE,10 MG TS,0
56641,NIFEDIPINE 20 MG TS,NIFEDIPINE,20 MG TS,0
56644,CISPLATIN 1 MG/ML HV,CISPLATIN,1 MG/ML HV,0
56645,THEOPHYLLINE ANHYDROUS 75 MG CB,THEOPHYLLINE,ANHYDROUS 75 MG CB,0
56681,THEOPHYLLINE ANHYDROUS 350 MG CB,THEOPHYLLINE,ANHYDROUS 350 MG CB,0
56735,HERBAL DRUGS/VALERIAN  CA,HERBAL,DRUGS/VALERIAN  CA,0
56738,POTASSIUM GLUC/MAG OXIDE/B-6 167MG-50MG TA,POTASSIUM,GLUC/MAG OXIDE/B-6 167MG-50MG TA,0
56741,VASOPRESSIN 20 UNIT/ML HH,VASOPRESSIN,20 UNIT/ML HH,0
56744,ASA/BUFFERS/CAFFEINE 325MG-15MG TA,ASA/BUFFERS/CAFFEINE,325MG-15MG TA,0
56745,ACETYLSALICYLIC ACID/CAFFEINE 325MG-15MG TA,ACETYLSALICYLIC,ACID/CAFFEINE 325MG-15MG TA,0
56747,CODEINE/ACETYLSALICYLIC/CAFF 8-500-15MG TA,CODEINE/ACETYLSALICYLIC/CAFF,8-500-15MG TA,0
56748,CODEINE/ASA/BUFFERS/CAFFEINE  TA,CODEINE/ASA/BUFFERS/CAFFEINE, TA,0
56749,MAGALDRATE 1080MG TA,MAGALDRATE,1080MG TA,0
56754,VALERIAN  SO,VALERIAN, SO,0
56759,NEOMYCIN SULF/BACITRACIN/POLY 3.5MG-400 OA,NEOMYCIN,SULF/BACITRACIN/POLY 3.5MG-400 OA,0
56760,NEOMYCIN/POLYMYXIN B/HYDROCORT  SA,NEOMYCIN/POLYMYXIN,B/HYDROCORT  SA,0
56768,CALCIUM CARBONATE/MAGNESIUM OX 250-125 MG CA,CALCIUM,CARBONATE/MAGNESIUM OX 250-125 MG CA,0
56779,SULISOBENZONE/CINOXATE  KA,SULISOBENZONE/CINOXATE, KA,0
56783,MAGALDRATE/SIMETHICONE 1080-30MG TC,MAGALDRATE/SIMETHICONE,1080-30MG TC,0
56785,CALCIUM CARBONATE 875 MG TA,CALCIUM,CARBONATE 875 MG TA,0
56787,PEPSIN/BETAINE HCL 130-648MG CA,PEPSIN/BETAINE,HCL 130-648MG CA,0
56788,TRICLOSAN 1 % SL,TRICLOSAN,1 % SL,0
56789,SOAP/POVIDONE-IODINE  EE,SOAP/POVIDONE-IODINE, EE,0
56798,CALCIUM CARBONATE 500(1250) TF,CALCIUM,CARBONATE 500(1250) TF,0
56800,METHYL SALICYLATE 12.5 % OA,METHYL,SALICYLATE 12.5 % OA,0
56802,CAL/MAG/VITAMIN D2/NIACIN/B6  TA,CAL/MAG/VITAMIN,D2/NIACIN/B6  TA,0
56803,AMINO ACIDS/CAL/MAG/VITAMIN D2  TA,AMINO,ACIDS/CAL/MAG/VITAMIN D2  TA,0
56805,MISC ELECTROLYTE REPLACEMENT  PC,MISC,ELECTROLYTE REPLACEMENT  PC,0
56806,DITHRANOL 0.4 % SK,DITHRANOL,0.4 % SK,0
56807,QUININE SULFATE 300 MG TA,QUININE,SULFATE 300 MG TA,0
56812,MENTHOL  JG,MENTHOL, JG,0
